company,date,text,num_replies,num_retweets,num_likes
AAPL,2020-01-08,⁦⁦ @jimcramer ⁩ ⁦⁦ @Not_Jim_Cramer ⁩ What happens to $AAPL stock when it hits 88 Weekly RSI? Jim says to “own Apple Don’t trade it” but to what end? #Greed,0,0,0
AAPL,2020-01-08,Apples $AAPL App Store crushes the holiday season:,0,1,0
AAPL,2020-01-08,‘Dead Cells' for Android Finally Has a Release Window and Playdigious Confirms that the iOS Version Will Eventually Catch Up to the PC Version http://dlvr.it/RMhJRj $AAPL,0,0,1
AAPL,2020-01-08,$AAPL #AAPL Quite a bit of volume holding around $300... setting up a base for the next blast off to the $310s?,1,3,5
AAPL,2020-01-08,"There is talk that $AAPL is being “re-rated” or re-priced on changing fundamentals. To assess, it would be instructive to remember the last time this happened. Who remembers when that was?",8,1,28
AAPL,2020-01-08,Twitter will soon let you limit who can reply to your tweets and disable replies entirely http://dlvr.it/RMhGZB $AAPL,0,0,0
AAPL,2020-01-08,‘Evelyn's Farm' is a New Text-Based Incremental Adventure Game from the Maker of ‘Nano Empire' that's Looking for Beta Testers http://dlvr.it/RMhDn6 $AAPL,0,0,0
AAPL,2020-01-08,"I wasn't watching $AAPL today but such a clean setup and following move, my bread and butter set-up",0,0,3
AAPL,2020-01-08,$AAPL hits a new 52 week high AGAIN today reaching $304.44 intraday before ending #trading at $303.19 up 1.61% for the day —           1 month return 12.00% — 3 month return 33.55% — YTD 3.25% —           1 year 101.12% #StockMarket #stocks #stockmarketnews #investing #investors,0,0,0
AAPL,2020-01-08,Apple Pay Express Transit apparently causing NYC users to be charged just for walking near terminals http://dlvr.it/RMh93V $AAPL,0,0,0
AAPL,2020-01-08,This is not the time you buy a stock like $aapl,1,0,1
AAPL,2020-01-08,"Some impressive numbers from #Apple. App Store grossed $1.42B between Christmas and NYE and $386M on Jan 1 alone. At $50B in sales in 2019, the #AppStore alone would be #64 on Fortune 500, ahead of Cisco. No wonder $AAPL has doubled over the last year.",0,0,0
AAPL,2020-01-08,"$AAPL ALL TIME HIGH!  $304.43  All Time Highest TODAY intraday    32,250,883  shares traded today    AAPL ALL TIME HIGHEST CLOSE!  $303.19  http://aaplinvestors.net/stats/rank/  AAPL market CAP. +1.331 TRILLION      AAPL ALL TIME HI...",0,0,0
AAPL,2020-01-08,"LaunchCuts Review: A Better Way to Organize Your Shortcuts with Folders, Advanced Search, and Custom Views http://dlvr.it/RMh763 $AAPL",0,0,0
